Script Name,SP11U1_QA3_90_Line_s,SP11U1_MixedTest_QA3_90_Line_s
01_MTX_FleetListPageNation,16.409,16.013
02_MTX_RandomAirCraftOpenTab_Inventorydetails,24.465,20.382
03_MTX_RandomAirCraft_HistoricalData,27.512,17.277
04_MTX_FleetDueList,2.504,2.232
05_MTX_InventorySearch,7.188,6.618
06_MTX_CheckDetails,46.832,39.549
07_MTX_UserSearch,3.085,2.933
08_MTX_TaskDetails,27.545,24.615
09_MTX_CreateEditRequirement,6.944,6.862
10_MTX_Editshipment,3.94,3.705
11_MTX_ReserveLocalInventory_Flow,67.378,79.899
12_MTX_ToDoList_AMT,8.373,8.274
13_MTX_ToDoList_MATSPEC,3.963,3.981
14_MTX_HangerWorkPackages,77.601,72.601
15_MTX_OilUptake,9.278,8.062
16_MTX_PrintSippingForm,23.746,24.431
17_MTX_AddPartRequirement,21.897,20.619
18_MTX_RaiseLogBookFault,52.606,42.391
19_MTX_CreateInventory,16,15.376
20_MTX_AssignUnassignPartInCompatability,24.299,23.369
21_MTX_BarCodeSearch,2.447,2.279
22_MTX_CreateBin,9.669,7.358
23_MTX_Tabs_Turnin_IncompleteKit,3.151,3.015
24_MTX_CreateIssueTicket,5.341,4.765
25_MTX_PrintTaskCard,20.287,20.453
26_MTX_FaultPrintTaskCard,14.158,11.59
27_MTX_MOC_Controller_Tabs,91.164,62.645
28_MTX_PhoneUpDeferral,,
29_MTX_CreatePutAway,9.156,7.654
30_MTX_Create_IssueInventory,7.93,5.703
31_MTX_Create_Complete_Transfer,,
32_MTX_CreateTaskFromTaskDefination,22.78,22.859
33_MTX_CompletePutAway,13.759,11.67
34_MTX_ReadOnlySearch,35.63,30.416
000_PeopleIDM_HRAPI,38.754,23.61
AM_API,84.794,61.753
