script name,aggregate0718 - 90% Line (20250804072655),aggregate0710 - 90% Line (20250804072648),aggregate0709 - 90% Line (20250804072640),aggregate0709-aggregate0710,aggregate0710-aggregate0718
01_MTX_FleetListPageNation,23.949,37.356,27.647,-9.709,13.407
02_MTX_RandomAirCraftOpenTab-Inventorydetails,44.13,83.975,55.067,-28.908,39.845
03_MTX_RandomAirCraft_HistoricalData,50.425,93.343,56.857,-36.486,42.918
04_MTX_FleetDueList,6.276,11.583,7.653,-3.930,5.307
05_MTX_InventorySearch,16.428,29.772,20.34,-9.432,13.344
06_MTX_CheckDetails,81.197,152.947,99.435,-53.512,71.750
07_MTX_UserSearch,8.899,16.847,11.175,-5.672,7.948
08_MTX_TaskDetails,44.535,83.525,55.919,-27.606,38.990
09_MTX_CreateEditRequirement,19.866,35.947,23.966,-11.981,16.081
10_MTX_Editshipment,11.642,22.034,14.42,-7.614,10.392
11_MTX_ReserveLocalInventory_Flow,198.278,334.726,215.444,-119.282,136.448
12_MTX_ToDoList-AMT,17.498,30.226,21.063,-9.163,12.728
13_MTX_ToDoList-MATSPEC,13.96,26.728,17.559,-9.169,12.768
14_MTX_HangerWorkPackages,155.631,285.06,183.849,-101.211,129.429
15_MTX_OilUptake,26.537,101.342,56.62,-44.722,74.805
17_MTX_AddPartRequirement,69.851,160.976,119.383,-41.593,91.125
18_MTX_T001,255.084,499.543,254.278,-245.265,244.459
19_MTX_CreateInventory,64.194,115.704,72.641,-43.063,51.510
20_MTX_AssignUnassignPartinCompatability,59.118,102.174,66.681,-35.493,43.056
21_MTX_BarCodeSearch,4.979,8.934,5.787,-3.147,3.955
22_MTX_CreateBin,33.806,61.698,38.381,-23.317,27.892
23_MTX_Tabs_Turnin_IncompleteKit,9.132,16.657,11.402,-5.255,7.525
24_MTX_CreateIssueTicket,12.722,23.723,15.642,-8.081,11.001
25_MTX_PrintTaskCard,19.039,44.473,30.772,-13.701,25.434
26_MTX_FaultPrintTaskCard,21.259,36.774,29.675,-7.099,15.515
27_MTX_MOC_Controller_Tabs,169.386,380.031,224.858,-155.173,210.645
30_MTX_Create_IssueInventory,18.113,32.806,25.492,-7.314,14.693
32_MTX_CreateTaskFromTaskDefinition,39.188,62.793,47.936,-14.857,23.605
34_MTX_ReadOnlySearch,44.793,72.644,62.768,-9.876,27.851
35_MTX_UnCommit,21.166,34.213,24.712,-9.501,13.047
36_MTX_FaultSearch_LogReferenceNumber,,69.98,48.511,-21.469,#N/A
37_MTX_FaultSearch_LogbookNumber,,21.96,13.766,-8.194,#N/A
38_MTX_FaultSearch_SelectAircraftandName,,21.444,12.315,-9.129,#N/A
39_MTX_FaultSearchAssemblyName,,17.529,12.123,-5.406,#N/A
40_MTX_FaultSearch_SelectAirCraftandSystem,,28.709,17.798,-10.911,#N/A
41_MTX_FaultSearch_SelectAssemblyandSystem,,22.482,15.048,-7.434,#N/A
42_MTX_FaultSearchRemovePart,,32.892,608.964,576.072,#N/A
43_MTX_FaultSearchIncludeHistoric,,62.926,38.083,-24.843,#N/A
44_MTX_FaultSearchWithOutHistorical,,107.627,53.558,-54.069,#N/A
001_MTX_JASP_PlanningReportsDMIRunReport,61.368,111.75,81.065,-30.685,50.382
